student_uid,Cantidad_Envios_error_AssertionError,Cantidad_Envios_error_AttributeError,Cantidad_Envios_error_EOFError,Cantidad_Envios_error_IndentationError,Cantidad_Envios_error_NameError,Cantidad_Envios_error_SyntaxError,Cantidad_Envios_error_TypeError,Ejercicios_unicos_error_AssertionError,Ejercicios_unicos_error_AttributeError,Ejercicios_unicos_error_EOFError,Ejercicios_unicos_error_IndentationError,Ejercicios_unicos_error_NameError,Ejercicios_unicos_error_SyntaxError,Ejercicios_unicos_error_TypeError
264,1,0,0,93,3,89,0,1,0,0,16,1,18,0
266,0,0,0,12,0,128,0,0,0,0,3,0,17,0
267,0,0,0,11,1,43,0,0,0,0,4,1,10,0
268,0,0,0,21,1,58,0,0,0,0,4,1,15,0
269,0,0,0,1,2,17,0,0,0,0,1,1,7,0
270,0,0,0,24,0,71,0,0,0,0,7,0,20,0
271,0,0,0,2,0,44,0,0,0,0,2,0,11,0
272,0,0,0,54,0,53,0,0,0,0,10,0,13,0
273,0,0,0,1,2,63,0,0,0,0,1,2,12,0
274,0,0,0,38,4,107,0,0,0,0,11,1,22,0
275,0,0,0,13,1,17,0,0,0,0,3,1,8,0
276,1,0,0,6,0,68,0,1,0,0,3,0,11,0
277,0,0,0,9,0,25,0,0,0,0,4,0,9,0
278,0,0,0,41,0,51,0,0,0,0,8,0,14,0
279,0,0,0,6,1,47,0,0,0,0,2,1,11,0
280,0,0,0,0,1,7,0,0,0,0,0,1,5,0
281,0,0,0,3,0,29,0,0,0,0,2,0,10,0
282,0,0,0,10,0,49,0,0,0,0,5,0,18,0
284,0,0,0,16,4,63,0,0,0,0,8,1,18,0
285,0,0,0,19,0,89,0,0,0,0,8,0,18,0
286,0,0,0,2,0,9,0,0,0,0,2,0,6,0
287,0,0,0,6,3,29,0,0,0,0,3,1,12,0
288,0,0,0,4,0,48,0,0,0,0,2,0,11,0
289,0,0,0,7,0,50,0,0,0,0,3,0,17,0
290,0,0,0,8,1,80,0,0,0,0,6,1,16,0
291,0,0,0,12,0,106,0,0,0,0,7,0,17,0
292,0,0,1,10,0,14,0,0,0,1,5,0,7,0
293,0,0,0,30,0,23,0,0,0,0,3,0,10,0
294,0,0,0,20,0,75,0,0,0,0,4,0,11,0
295,0,0,0,5,0,26,0,0,0,0,3,0,8,0
296,0,0,0,13,0,25,0,0,0,0,5,0,14,0
297,0,0,0,0,0,4,0,0,0,0,0,0,2,0
298,0,0,0,0,0,7,0,0,0,0,0,0,4,0
299,0,0,0,1,0,22,0,0,0,0,1,0,7,0
300,0,0,0,4,1,44,0,0,0,0,3,1,13,0
302,0,0,0,0,0,4,0,0,0,0,0,0,4,0
303,0,0,0,9,0,69,0,0,0,0,6,0,20,0
304,0,0,0,27,4,66,0,0,0,0,7,1,16,0
305,0,0,0,1,0,40,0,0,0,0,1,0,13,0
306,0,0,0,61,0,91,0,0,0,0,10,0,20,0
307,0,0,0,0,1,18,0,0,0,0,0,1,9,0
308,0,0,0,16,0,23,0,0,0,0,2,0,6,0
309,0,0,0,0,0,22,0,0,0,0,0,0,12,0
310,0,0,0,0,3,15,0,0,0,0,0,1,3,0
311,0,0,0,0,0,1,0,0,0,0,0,0,1,0
312,0,0,0,6,0,23,0,0,0,0,2,0,10,0
313,0,0,0,11,0,67,0,0,0,0,5,0,12,0
314,0,0,0,38,1,113,0,0,0,0,12,1,19,0
315,0,0,0,24,13,51,0,0,0,0,9,1,16,0
316,0,0,0,13,2,52,0,0,0,0,2,1,14,0
317,0,0,0,8,0,29,0,0,0,0,5,0,17,0
318,0,0,0,11,2,75,0,0,0,0,7,2,12,0
319,0,0,0,45,0,29,0,0,0,0,7,0,9,0
320,0,0,0,8,0,56,0,0,0,0,3,0,13,0
321,0,0,0,41,1,62,0,0,0,0,5,1,15,0
322,0,0,0,2,0,3,0,0,0,0,1,0,2,0
323,0,0,0,11,0,41,0,0,0,0,3,0,8,0
324,0,0,0,1,0,9,0,0,0,0,1,0,4,0
325,0,0,0,0,2,18,0,0,0,0,0,2,3,0
326,0,0,0,3,3,66,0,0,0,0,1,3,14,0
327,0,0,0,15,1,113,0,0,0,0,3,1,15,0
328,0,0,0,12,1,69,0,0,0,0,6,1,18,0
329,0,0,0,4,2,29,0,0,0,0,3,2,9,0
330,0,0,0,12,0,57,0,0,0,0,4,0,15,0
331,0,0,0,9,2,93,0,0,0,0,4,2,20,0
332,0,0,0,10,1,58,0,0,0,0,5,1,20,0
333,0,0,0,25,1,78,0,0,0,0,6,1,10,0
334,0,0,0,1,0,38,0,0,0,0,1,0,11,0
335,0,0,0,9,0,45,0,0,0,0,4,0,13,0
336,0,0,0,74,0,61,0,0,0,0,10,0,13,0
337,0,0,0,6,0,40,0,0,0,0,2,0,11,0
338,0,0,0,19,2,36,0,0,0,0,6,1,12,0
339,0,0,0,7,0,51,0,0,0,0,4,0,18,0
340,0,0,0,3,0,3,0,0,0,0,2,0,3,0
341,0,0,0,8,0,5,0,0,0,0,2,0,2,0
342,0,0,0,11,0,89,0,0,0,0,3,0,21,0
343,0,0,0,5,3,24,0,0,0,0,4,2,11,0
344,0,0,0,6,0,24,0,0,0,0,5,0,13,0
345,0,0,0,1,2,53,0,0,0,0,1,1,5,0
346,0,0,0,1,2,23,0,0,0,0,1,1,6,0
347,0,0,0,1,0,9,0,0,0,0,1,0,5,0
348,0,0,0,3,1,24,0,0,0,0,3,1,9,0
349,0,0,0,0,0,25,0,0,0,0,0,0,3,0
350,0,0,0,1,3,18,0,0,0,0,1,2,6,0
351,0,0,0,0,0,26,0,0,0,0,0,0,13,0
352,0,0,0,0,1,20,0,0,0,0,0,1,4,0
353,0,0,0,0,0,12,0,0,0,0,0,0,5,0
355,0,0,0,0,0,3,0,0,0,0,0,0,2,0
359,0,0,0,0,0,14,0,0,0,0,0,0,4,0
363,0,0,0,16,0,1,0,0,0,0,2,0,1,0
